datetime,text,cleaned_text,sentiment,sentiment_value
2023-01-01 10:21:00+00:00,"No taxation for the Sri Lankan actors and actresses ? Arnt they citizens of Sri Lanka? Most of them were leaders at the Aragalaya with 'lorry talks', why not tax their income ?? #srilankaeconomiccrisis #tax #TaxReturns",taxation sri lankan actors actresses arnt citizens sri lanka leaders aragalaya lorry talks tax income,Neutral,0.0
2023-01-01 11:44:00+00:00,Cheese to new beginning Jambun short hi budget me hai so 😬😜,cheese new beginning jambun short hi budget hai 😬😜,Negative,-0.34
2023-01-01 12:15:00+00:00,Income site is working fine now but other than financial year 20.21 and  21.22.. No rectification is processed   via taxes data correction. If time of rectification (limitations) is over due to technical issues. taxpayer have to suffer @IncomeTaxIndia @Infosys @nsitharaman,income site working fine financial year rectification processed via taxes data correction time rectification limitations due technical issues taxpayer suffer,Negative,-0.4019
2023-01-01 13:29:00+00:00,Is 15% increase in Taxes good when ordinary citizens are struggling for their day to day living  Hope INCOME TAX RATES are reduced in this budget,increase taxes good ordinary citizens struggling day day living hope income tax rates reduced budget,Positive,0.6486
2023-01-01 13:55:00+00:00,"1st day,2023, we had a productive meeting with PRI.There is not even a single institution which will guide our next 200-300 billion USD budget (as usual case) in upcoming 2 decades. Pathetic,only hope,PRI, has a budget of 0.5milnUSD/yr.We will do our best to raise this crisis.",st day productive meeting prithere even single institution guide next billion usd budget usual case upcoming decades patheticonly hopepri budget milnusdyrwe best raise crisis,Neutral,0.0258
2023-01-01 14:46:00+00:00,Downfall of Indian economy from Economic Perspective. British stole more than $45 trillion from Indian between 1756 to 1938,downfall indian economy economic perspective british stole trillion indian,Neutral,0.0
2023-01-01 17:44:00+00:00,"The Centre for Monitoring Indian Economy (CMIE) released a report on Sunday 01 January 2023, India's unemployment rate rose to 8.3%, Highest in 16 Months. #indianeconomy #Unemployment #CMIE #YouthInPolitics #diplomattimes",centre monitoring indian economy cmie released report sunday january indias unemployment rate rose highest months,Negative,-0.4404
2023-01-01 18:10:00+00:00,Basic rule of VAT is tax luxury and not essentials. Cant avoid income tax as money could be spent anywhere around the globe or spent very less. Source of income and domicile status generates a lot of revenue. If businesses can't claim then many will go out of business. Thanks.,basic rule vat tax luxury essentials cant avoid income tax money could spent anywhere around globe spent less source income domicile status generates lot revenue businesses cant claim many go business thanks,Positive,0.5842
2023-01-01 20:19:00+00:00,"Budget hotel 🏨 near Harishchandra Ghat...  Only 2minit walking distance.  Varanasi, Kashi.. #Coupletravelmunsai || Like 👍 Subscribe🙏 Share 📲 || Full video uploaded on my YouTube channel▶️ Link 🔗is here 👇 https://piped.video/a68bqY6aN3I",budget hotel 🏨 near harishchandra ghat minit walking distance varanasi kashi like 👍 subscribe🙏 share 📲 full video uploaded youtube channel▶️ link 🔗is 👇,Positive,0.7269
2023-01-02 04:53:00+00:00,Opening trade done!  FIN NIFTY strike explosions are never ending!  Please be careful with shorting FIN Nifty options on Mondays and Tuesdays till budget session is over.,opening trade done fin nifty strike explosions never ending please careful shorting fin nifty options mondays tuesdays till budget session,Positive,0.3599
2023-01-02 05:29:00+00:00,"Hahaha thanks, mima! Haha natawa ko sa confidently beautiful with a budget 😂",hahaha thanks mima haha natawa ko sa confidently beautiful budget 😂,Positive,0.9607
2023-01-02 07:52:00+00:00,Hoping our current government will not cut those budgets related to road maintenance … @anwaribrahim @DrZahidHamidi @AlexNantaLinggi @MOWorks @IPJKR_Official #zeropotholes,hoping current government cut budgets related road maintenance …,Positive,0.1779
2023-01-02 09:48:00+00:00,"PHP programmers at Askme Technologies are well experienced in creating well-designed, innovative web applications, within your time & budget.  Call us - 099995 68773 Click Here - https://askmetechnologies.com/hire-php-developer-service.php",php programmers askme technologies well experienced creating welldesigned innovative web applications within time budget call us click,Positive,0.7351
2023-01-02 10:21:00+00:00,"1. Do we need such a big army? 2. Why not to relieve the army from pm, president and parliament's security? 3. PDA Peshawar support 4,500 employees, give them plots and huge retirement benefits w/o govt funds! Why DHAs, and other askari units are unable to pay for army budget?",need big army relieve army pm president parliaments security pda peshawar support employees give plots huge retirement benefits wo govt funds dhas askari units unable pay army budget,Positive,0.8779
2023-01-02 10:27:00+00:00,Low budget 3 bhk house #3Bedroom #IndependentHouse #ForSale #Shoranur #Palakkad #Residential #Property prpt.in/P74118214,low budget bhk house prptinp,Negative,-0.2732
2023-01-02 10:29:00+00:00,Premium low budget houses #3Bedroom #IndependentHouse #ForSale #Ottappalam #Palakkad #Residential #Property prpt.in/P11179474,premium low budget houses prptinp,Negative,-0.2732
2023-01-02 12:14:00+00:00,In the new budget please Announce Nathdwara  Dwarka daily train @AshwiniUpadhyay @baheriasc @arjunrammeghwal @KumariDiya @DrSatishPoonia,new budget please announce nathdwara dwarka daily train,Positive,0.3182
2023-01-02 12:18:00+00:00,In the new budget please announce beawar Asind bhilwara new rail line @AshwiniUpadhyay @DrSatishPoonia @arjunrammeghwal @baheriasc @KumariDiya @JPNadda,new budget please announce beawar asind bhilwara new rail line,Positive,0.3182
2023-01-02 12:19:00+00:00,"Everybody is talking about worst economic situation, deficits and loans, but no body dares to question Elephant in the room..  That's the Defense budget. Can  we afford to have  such expenditures in current economic crisis ?? #Pakistanis #defense #Pakeconomy",everybody talking worst economic situation deficits loans body dares question elephant room thats defense budget afford expenditures current economic crisis,Negative,-0.8271
2023-01-02 12:20:00+00:00,In the new budget please announce new rail line between Marwar jn -devgarh-Rajaji ka karera - Gangapur bhilwara,new budget please announce new rail line marwar jn devgarhrajaji ka karera gangapur bhilwara,Positive,0.3182
2023-01-02 12:26:00+00:00,In the new budget pl announce new rail line between Hanumangarh - rawatsar pallu- sardarshahr n link it up to Ajmer @AshwiniUpadhyay @JPNadda @DrSatishPoonia @arjunrammeghwal @KumariDiya @baheriasc @ashokgehlot51 @anilsharma45,new budget pl announce new rail line hanumangarh rawatsar pallu sardarshahr n link ajmer,Neutral,0.0
2023-01-02 12:27:00+00:00,In new budget pl announce new rail line between Rajgarh -Sardarshahr-Shri Dungar Garh,new budget pl announce new rail line rajgarh sardarshahrshri dungar garh,Neutral,0.0
2023-01-02 12:33:00+00:00,Sir  in this rail budget we must get budget allocation for new rail lines link so railway connectivity we'll available it is the most awaited n nessicity of people pl do need full @JPNadda @ashokgehlot51 @AshwiniUpadhyay @DrSatishPoonia @arjunrammeghwal @KumariDiya @baheriasc @,sir rail budget must get budget allocation new rail lines link railway connectivity well available awaited n nessicity people pl need full,Positive,0.25
2023-01-02 12:53:00+00:00,"#Suriya42 Probusiness [Till Now]  South Digital Rights : 100 cr + Hindi Theatrical, Satellite, Digital Rights : 100cr  *Total : 200cr* *Budget : 150 - 200 Cr*  *Table Profit just By South Digital Rights, Hindi Theatrical, Satellite, Digital Rights* @Suriya_official 🔥💥*",probusiness till south digital rights cr hindi theatrical satellite digital rights cr total cr budget cr table profit south digital rights hindi theatrical satellite digital rights 🔥💥,Negative,-0.25
2023-01-02 12:59:00+00:00,"3 Best Budget Smartwatch Under Rs 2,000 https://piped.video/shorts/CMk_2Gaw6So?feature=share",best budget smartwatch rs,Positive,0.6369
2023-01-02 13:09:00+00:00,"Unable to find a good professional photographer, within budget in #Darjeeling for my property.  #Twitter , please do your thing.",unable find good professional photographer within budget property please thing,Positive,0.6369
2023-01-02 13:39:00+00:00,Income Tax relief for Senior Citizens: What to expect from Budget 2023 https://www.financialexpress.com/money/income-tax-relief-for-senior-citizens-what-to-expect-from-budget-2023/2932658/ via @FinancialXpress,income tax relief senior citizens expect budget via,Positive,0.4767
2023-01-02 13:46:00+00:00,"In this case management I think since before recent elections, heavy hints were circulated about bonanza budget. Now it's time to temper those expectations!",case management think since recent elections heavy hints circulated bonanza budget time temper expectations,Negative,-0.4215
2023-01-02 15:01:00+00:00,🇧🇹 Opening @WFP   📊 #Admin    BUDGET & PROGRAMMING ASSOCIATE G6     🗓 Exp. in 3 days   #unjobs #untalent #hiring https://untalent.org/j/twitter-wPA2L,🇧🇹 opening 📊 budget programming associate g 🗓 exp days,Neutral,0.0
2023-01-02 15:34:00+00:00,Bro.. you tooo.  #jailer budget 200C...u tell rest of the film budget,bro tooo budget cu tell rest film budget,Neutral,0.0
2023-01-02 16:20:00+00:00,"Mil pension never part of d #DefenceBudget, which caters 4 expenditure in preparation & sustenance of nations war machinery across 🌏. Veterans pension doesn't contributes2 defence preparedness; catered separately in budget. Repetition possibly due 2 ignorance or other motives 🧐",mil pension never part caters expenditure preparation sustenance nations war machinery across 🌏 veterans pension doesnt contributes defence preparedness catered separately budget repetition possibly due ignorance motives 🧐,Negative,-0.7715
2023-01-02 19:29:00+00:00,Proposed residence at Eledeco regalia at Lucknow Uttar Pradesh. #architect #architecture #Construction #design #Netflix #Facebook #instagram #buisness #Lucknow #Gorakhpur #UttarPradesh #luxuryhomes #budget,proposed residence eledeco regalia lucknow uttar pradesh,Neutral,0.0
2023-01-03 00:57:00+00:00,"I will be live on @BBCWorld Radio  at 6.30 am India on Business Matters discussing #Indianeconomy, #pele  and more. Podcast later. Also later on Spotify  https://www.bbc.co.uk/programmes/p016tl04",live radio india business matters discussing podcast later also later spotify,Neutral,0.0258
2023-01-03 01:23:00+00:00,A lot of people (including the likes of @harishmehta_ - one of the cofounders of @nasscom) credit Y2K related spends as one of the key events that's helped the Indian IT industry become the crown jewel of Indian economy!,lot people including likes one cofounders credit yk related spends one key events thats helped indian industry become crown jewel indian economy,Positive,0.7845
2023-01-03 02:19:00+00:00,Unlikely that the gov will be able to provide much relief/stimulus in the budget unless the global macro environment (ie commodities) changes drastically,unlikely gov able provide much reliefstimulus budget unless global macro environment ie commodities changes drastically,Neutral,0.0
2023-01-03 03:17:00+00:00,Sagam budget stools ki katham. 😂😂,sagam budget stools ki katham 😂😂,Positive,0.7003
2023-01-03 04:39:00+00:00,The sorry state of the Indian Economy from 2014-2022.,sorry state indian economy,Negative,-0.0772
2023-01-03 05:21:00+00:00,5 budget-friendly tips to revamp the look of your #HomeSweetHome in 2023   #clicbrics #tuesdaymotivations #homedecor #HomeImprovement #NewYear2023 #investor #RealEstate #Trendingtopic,budgetfriendly tips revamp look,Neutral,0.0
2023-01-03 05:34:00+00:00,"Indian Economy is a Globalised Economy,  But shielded from impact when Global Crude and Natural Gas prices decrease   #narendramodi #inflation #indianeconomy #economy #naturalgas #oil #growth https://www.financialexpress.com/market/commodities/crude-oil-slides-after-imf-says-slowing-global-growth-engines-portend-tougher-2023/2934744/",indian economy globalised economy shielded impact global crude natural gas prices decrease,Negative,-0.296
2023-01-03 05:41:00+00:00,"Railways Modernisation and Infrastructural Push is very much needed in India 🇮🇳. In order to achieve dream of $5 trillion economy , capital investment is needed at war footing.  But why it's important? 7 points: Thread🧵   #UPSC #Railways #indianeconomy #infrastructure",railways modernisation infrastructural push much needed india 🇮🇳 order achieve dream trillion economy capital investment needed war footing important points thread🧵,Negative,-0.2732
2023-01-03 06:56:00+00:00,"Join us for an informative discussion by @ATcnglobal, Partner, TCN Global and Economic Advisory Services on handling GST litigation, tax notices and appeals at WTC Mumbai on January 11, 2023. Register here  https://forms.gle/d2YD3m5jToTR1f65A #GST #gstcollection #IndianEconomy",join us informative discussion partner tcn global economic advisory services handling gst litigation tax notices appeals wtc mumbai january register,Positive,0.1027
2023-01-03 06:59:00+00:00,Budget #hod #hodchannel #hodmadiacompany #hodposts #budget #Budget2023 #BudgetSession #population #china #India,budget,Neutral,0.0
2023-01-03 07:19:00+00:00,Lovely to see a consistent rise in the number of women in the new subscribers in #EPFO data.   Still a long way to go from current 26%!!   Indian economy can't leapfrog unless more women are brought into formal payroll market.,lovely see consistent rise number women new subscribers data still long way go current indian economy cant leapfrog unless women brought formal payroll market,Positive,0.6249
2023-01-03 07:50:00+00:00,"Capital gain tax on equity -logic?   So you work hard and make 1Cr for eg You pay tax: 30% (30L gone)  You go and take risk and invest in equity.  If you make profit, you pay tax again.   But, if you make a loss, no one will compensate you.  This budget should remove it?  #tax",capital gain tax equity logic work hard make cr eg pay tax l gone go take risk invest equity make profit pay tax make loss one compensate budget remove,Positive,0.5719
2023-01-03 08:05:00+00:00,"For Twitter's family info, many years back my red Cheongsam is hardly to backzip🤣 trust can find my triple/5XL size, new & cheap within my budget to enjoy Chinese New Year in Malaysia. I trust usually Chinese Politicians will organise CNY gatherings for public, I want to attend",twitters family info many years back red cheongsam hardly backzip🤣 trust find triplexl size new cheap within budget enjoy chinese new year malaysia trust usually chinese politicians organise cny gatherings public want attend,Positive,0.9231
2023-01-03 08:31:00+00:00,5. The current administration has yet to announce its plans on funding for the 148 government MPs.  Budget 2023 will be tabled on February 24.,current administration yet announce plans funding government mps budget tabled february,Neutral,0.0
2023-01-03 08:31:00+00:00,"2. Shahidan said this in response to Hulu Langat MP Sany Hamzan, who said that Shahidan was fishing for funds under Budget 2023.  Sany says, the recently-passed mini budget only included allocations for civil servants, and the funding for opposition MPs has not been decided upon.",shahidan said response hulu langat mp sany hamzan said shahidan fishing funds budget sany says recentlypassed mini budget included allocations civil servants funding opposition mps decided upon,Neutral,0.0
2023-01-03 08:35:00+00:00,Sorry but realme always promote their products in public section then face the real facts(truth) in public section. Such a worst brand I have ever seen. After investing almost 25k realme ignoring like a low budget smartphone. #dare to face the truth,sorry realme always promote products public section face real factstruth public section worst brand ever seen investing almost k realme ignoring like low budget smartphone face truth,Negative,-0.3687
2023-01-03 08:38:00+00:00,"As we enter 2023,signs of destruction of the Indian Economy due to the BJPGov callousness plus pursuit of policies of loot could not be clearer.Galloping inflation is getting worse by the day.Gas cylinder prices were hiked4times in 2022 and now it costs Rs 1769! -@SitaramYechury",enter signs destruction indian economy due bjpgov callousness plus pursuit policies loot could clearergalloping inflation getting worse daygas cylinder prices hikedtimes costs rs,Negative,-0.7783
2023-01-03 09:14:00+00:00,"Reduce defence budget and troops,stop their businesses and limit only to security purposes, They are imposing taxes only on poor people....all puppets",reduce defence budget troopsstop businesses limit security purposes imposing taxes poor peopleall puppets,Negative,-0.1779
2023-01-03 11:16:00+00:00,Indian economy is to stay on steady ground in 2023: Assocham  https://www.livemint.com/economy/indian-economy-is-to-stay-on-steady-ground-in-2023-assocham-11672661777097.html via NaMo App,indian economy stay steady ground assocham via namo app,Neutral,0.0
2023-01-03 11:34:00+00:00,Den Galaxy   Get our Plantinum Plus HD only at Rs 499/- for 30 days . Including GST   In this pack you will get :  Channel 180  59 exclusive channels  Terms and conditions applied  Switch to den galaxy network and get more exciting plans  Budget saving pack only at Rs 199 /-,den galaxy get plantinum plus hd rs days including gst pack get channel exclusive channels terms conditions applied switch den galaxy network get exciting plans budget saving pack rs,Positive,0.5719
2023-01-03 11:40:00+00:00,Jai Hind !*  Indian economy is to stay on steady ground in 2023: Assocham  https://www.livemint.com/economy/indian-economy-is-to-stay-on-steady-ground-in-2023-assocham-11672661777097.html via NaMo App,jai hind indian economy stay steady ground assocham via namo app,Neutral,0.0
2023-01-03 12:02:00+00:00,Tracking the Budget's promises https://www.thehindubusinessline.com/opinion/tracking-the-budgets-promises/article66327539.ece  via NaMo App,tracking budgets promises via namo app,Positive,0.3818
2023-01-03 12:27:00+00:00,Every year before budget they go up on hopes of extra deductions. 🤑 but govt gives them👎 with new taxes. 😃,every year budget go hopes extra deductions 🤑 govt gives them👎 new taxes 😃,Positive,0.6486
2023-01-03 12:40:00+00:00,"Budget travel tips in siem reap, Cambodia",budget travel tips siem reap cambodia,Neutral,0.0
2023-01-03 13:24:00+00:00,"I celebrated my NYE with a budget of 300 Rs. Found a local fisherman who gave us his keys to a jhopda on the beach that was secluded. It was just us, literally! Happy New Year, y'all!",celebrated nye budget rs found local fisherman gave us keys jhopda beach secluded us literally happy new year yall,Positive,0.8126
2023-01-03 13:34:00+00:00,Just posted a photo @ Hotel BRG Budget Stay https://www.instagram.com/p/Cm9HHj7vo8Y/?igshid=YTgzYjQ4ZTY=,posted photo hotel brg budget stay,Neutral,0.0
2023-01-03 13:46:00+00:00,"#LHHFamilyReunion  I feel phresher but he gotta at least meet her half way, try to give her what she wants within budget. She's a woman of course she wants a beautiful wedding, but she's trying to keep up with the Joneses not thinking about the long hall",feel phresher gotta least meet half way try give wants within budget shes woman course wants beautiful wedding shes trying keep joneses thinking long hall,Positive,0.5994
2023-01-03 15:26:00+00:00,Booking Open For January 2023  Budget #umrahpackage Available in Salam Air .  For Booking / Enquiry Call Us-  📲9935213439 / 9026471494  ✉ support@shifatravels  🌐 shifatravels.com,booking open january budget available salam air booking enquiry call us 📲 ✉ support 🌐 shifatravelscom,Positive,0.4019
2023-01-03 16:23:00+00:00,"Only when ecology becomes an election issue will it become government policy, and only then will there be large budgets allocated so that solutions manifest. This #NewYear, pledge to #SaveSoil. #ConsciousPlanet #cauverycalling Action now : savesoil.org",ecology becomes election issue become government policy large budgets allocated solutions manifest pledge action savesoilorg,Positive,0.1779
2023-01-03 16:53:00+00:00,"Someone once said, cigarette n daru price is only thing worth checking in budget",someone said cigarette n daru price thing worth checking budget,Positive,0.2263
2023-01-03 19:57:00+00:00,"Start from elite class mr PM,dare to cut free imported oil from generals and privatize their businesses which they are running without paying taxes.they are getting 80% of the budget in the name of security and running businesses without paying a single penny of tax...just Do it.",start elite class mr pmdare cut free imported oil generals privatize businesses running without paying taxesthey getting budget name security running businesses without paying single penny taxjust,Positive,0.5574
2023-01-03 23:36:00+00:00,"Low budget ""Budgetnya rafathar""",low budget budgetnya rafathar,Negative,-0.2732
2023-01-04 00:37:00+00:00,"According to the RBI, more than 99% of the invalidated money was returned to the banking system. Demonetisation helped government officials track the source of unaccounted cash. Individuals with a huge chunk of money had to disclose their source of income and pay taxes on them.",according rbi invalidated money returned banking system demonetisation helped government officials track source unaccounted cash individuals huge chunk money disclose source income pay taxes,Positive,0.2263
2023-01-04 01:47:00+00:00,Biden's budget https://www.thenews.com.pk/print/1025890-biden-s-budget,bidens budget,Neutral,0.0
2023-01-04 02:00:00+00:00,There's a lot cheaper option under $25 around Canggu and Seminyak. It's worth if you are on budget.,theres lot cheaper option around canggu seminyak worth budget,Positive,0.2263
2023-01-04 03:43:00+00:00,@OstelloBello is fantastic,fantastic,Positive,0.5574
2023-01-04 04:13:00+00:00,How budget proposals are publicaly known one month in advance?,budget proposals publicaly known one month advance,Neutral,0.0
2023-01-04 04:19:00+00:00,Income Tax Rates in the year 1945 See how the Earning Potential at the year 1945  #call8904959006 #lifeprotector #healthfortpolio #taxation @ Mulund West https://www.instagram.com/p/Cm-sZ6WpMHi/?igshid=YTgzYjQ4ZTY=,income tax rates year see earning potential year mulund west,Neutral,0.0
2023-01-04 04:52:00+00:00,"The subsidy numbers will be announced on February 1, when Finance Minister Nirmala Sitharaman presents the 2023/24 federal budget in Parliament.",subsidy numbers announced february finance minister nirmala sitharaman presents federal budget parliament,Neutral,0.0
2023-01-04 06:10:00+00:00,Deduction for interest payment on Vehicle should also be introduced to boost Auto sector. @FinMinIndia @nsitharaman @narendramodi @PMOIndia  Budget expectation.,deduction interest payment vehicle also introduced boost auto sector budget expectation,Positive,0.6908
2023-01-04 07:25:00+00:00,Exactly adhe anipinvhindhi   But creativity chupinchalante budget kooda undali 😅,exactly adhe anipinvhindhi creativity chupinchalante budget kooda undali 😅,Positive,0.6249
2023-01-04 08:06:00+00:00,"Good morning from Vientiane, Laos. Just lying comatose after an epic lunch at the local food court at the Talat Sao morning market. It's such a tough life… 😁",good morning vientiane laos lying comatose epic lunch local food court talat sao morning market tough life… 😁,Positive,0.25
2023-01-04 08:17:00+00:00,What Is Income Tax Slab  #incometax #tax #taxes #taxseason #gst #finance #accountant #taxpreparer #taxrefund #taxprofessional #taxreturn #security #incometaxreturn #entrepreneur #incometaxindia #taxtips #taxpreparation #planning #taxation #incometaxseason #taxconsultant,income tax slab,Neutral,0.0
2023-01-04 09:28:00+00:00,2 bhk budget friendly flats for sale Ready to occupy East facing 1125 square feet 100% vasthu  With good amenities 90% bank loans are available Inner ring road Guntur For more information Contact us 9346201270,bhk budget friendly flats sale ready occupy east facing square feet vasthu good amenities bank loans available inner ring road guntur information contact us,Positive,0.8225
2023-01-04 10:42:00+00:00,SENSYS BLOG: DUE DATE FOR THE MONTH OF JANUARY 2023.  Search for the Full Article: sensystechnologies.com/blog/…  Stay updated with our Blogs! Subscribe to our Sensys Blog today sensystechnologies.com/blog/ #sensysblog #sensystechnologies #hrmthread #gst #incometax #tax #duedates,sensys blog due date month january search full article sensystechnologiescomblog… stay updated blogs subscribe sensys blog today sensystechnologiescomblog,Neutral,0.0
2023-01-04 10:55:00+00:00,You'll love it. Wee cheeky video coming up soon,youll love wee cheeky video coming soon,Positive,0.6369
2023-01-04 11:48:00+00:00,"Spreadsheets, Presentations, Internet n Email ... even in a school without any computers. It is a great fit for interventions in low budget and govt schools   We do regular online seminars with schools to talk about the CS MagicBox.  Pics are from seminars of 4th Jan 2023.",spreadsheets presentations internet n email even school without computers great fit interventions low budget govt schools regular online seminars schools talk cs magicbox pics seminars th jan,Negative,-0.7582
2023-01-04 12:16:00+00:00,"The  module will facilitate one click generation of year-end reports including financial statements, revenue reports and department & function wise budget.   #NUDM #UPYOG #Module #Ulb #Accounting #Finance #AccountingandFinance",module facilitate one click generation yearend reports including financial statements revenue reports department function wise budget,Positive,0.4767
2023-01-04 13:00:00+00:00,"Sindh Education Budget 36.8 Billion Rupees - No Uniform - No Shoes - School Walls , Door , Blackboard all in miserable conditions but mischief smile like zardari and engulfing Sindh for 15 yrs.",sindh education budget billion rupees uniform shoes school walls door blackboard miserable conditions mischief smile like zardari engulfing sindh yrs,Negative,-0.1779
2023-01-04 13:35:00+00:00,Urban ladder has a very decent collection well within this budget,urban ladder decent collection well within budget,Positive,0.2732
2023-01-04 14:02:00+00:00,"#ShehnaazGill's b'day is 23 days away. Feed hungry animal, share a meal or 2 with needy or if u're able 2 do a little more, do so as per Ur budget bt refrain frm giving money 2 any1, channel owners included, fc's etc.. cutting a cake n eating it urself 4 popularity don't count🙄",bday days away feed hungry animal share meal needy ure able little per ur budget bt refrain frm giving money channel owners included fcs etc cutting cake n eating urself popularity dont count🙄,Positive,0.5859
2023-01-04 14:27:00+00:00,"Increase in Budget Allocation to Railways:  2014-19: Avg Rs. 99,178 Cr. 2020-21: Rs. 1,55,181 Cr. 2022-23: Rs. 2,45,800 Cr.   Highest ever budget allocation in 2022-2023",increase budget allocation railways avg rs cr rs cr rs cr highest ever budget allocation,Positive,0.3182
2023-01-04 14:30:00+00:00,"After The IT Sector's 'Annus Horribilis' In The Year 2022, #JPMorgan In Its Note Said It Expects Revenue Growth Of Companies To Come Down To 6-8% From The Mid-Teens. Reason: Shrinking Tech Budgets As Well As Pricing Pressure On The Back Of Higher-Than-Expected Furloughs..  #A3RT",sectors annus horribilis year note said expects revenue growth companies come midteens reason shrinking tech budgets well pricing pressure back higherthanexpected furloughs,Positive,0.3612
2023-01-04 15:14:00+00:00,"Time & again he has displayed the tendency of underestimating the scale Modi govt can achieve. IMO, it's partly because this chap never progressed beyond 'pilots' in his budgets & partly because his big fat ego prevails over any ability to think sensibly on a matter.",time displayed tendency underestimating scale modi govt achieve imo partly chap never progressed beyond pilots budgets partly big fat ego prevails ability think sensibly matter,Positive,0.34
2023-01-04 15:23:00+00:00,Saar namma budget yella just 251 rs or below,saar namma budget yella rs,Neutral,0.0
2023-01-04 15:24:00+00:00,Here you go!  https://fb.watch/hRkWsatPHX/,go,Neutral,0.0
2023-01-04 15:31:00+00:00,False narrative and manufactured rally before budget disappointment maybe a reason.,false narrative manufactured rally budget disappointment maybe reason,Negative,-0.5106
2023-01-04 16:47:00+00:00,Karnataka at 2nd place in GST collection both in total collection and per capita collection after Maharastra and Delhi. Adding an avg collection with last year's direct tax it makes 2.7L Cr that would be more than the budget 2.55L Cr of Karnataka. But it had 65K Cr deficit #GST,karnataka nd place gst collection total collection per capita collection maharastra delhi adding avg collection last years direct tax makes l cr would budget l cr karnataka k cr deficit,Positive,0.5106
2023-01-04 17:08:00+00:00,In West Bengal East Bengal Vs. Mohun Bagan Derby has lost it's lustre due to meagre budget of East Bengal ; now the most popular Derby is CBI Vs. CID ! 😊😃😀😆,west bengal east bengal vs mohun bagan derby lost lustre due meagre budget east bengal popular derby cbi vs cid 😊😃😀😆,Positive,0.9186
2023-01-04 17:35:00+00:00,"Designing a Villa from 0-100 according to the client's expectations, needs, preferences, and budget, ... is 'DONYAARCH'expert.  Contact Us : 📞📞📞 +971 50 868 22 48  Email Us :  📩 [email protected]  Location: 📍 Dubai  Visit Website: 💻  https://donyaarch.com",designing villa according clients expectations needs preferences budget donyaarchexpert contact us 📞📞📞 email us 📩 email protected location 📍 dubai visit website 💻,Positive,0.4404
