datetime,text,cleaned_text,sentiment,sentiment_value
2021-01-02 04:55:00+00:00,"The fine is peanuts , even lower than Income Tax payable on short term capital gains or speculative income  earned from illegal  Insider Trading . Excellent entrepreneurship.",fine peanuts even lower income tax payable short term capital gains speculative income earned illegal insider trading excellent entrepreneurship,Positive,0.3612
2021-01-02 05:00:00+00:00,GVM Dropped ...  Budget Pottathaveda Adhigama Agiruchi pola,gvm dropped budget pottathaveda adhigama agiruchi pola,Neutral,0.0
2021-01-02 05:20:00+00:00,GST collections at all-time high of over Rs 1.15 lakh cr in Dec https://www.financialexpress.com/economy/gst-collections-at-all-time-high-of-over-rs-1-15-lakh-cr-in-dec/2162251/ via NaMo App,gst collections alltime high rs lakh cr dec via namo app,Neutral,0.0
2021-01-02 05:30:00+00:00,#prasadtechintelugu  Anna naku 20k budget lo smart watch suggest chay Anna or wait chayana konni days,anna naku k budget lo smart watch suggest chay anna wait chayana konni days,Positive,0.4019
2021-01-02 05:33:00+00:00,How Much Ram Do We Need In a Budget Smartphone?🤷‍♂️ 2GB vs 3GB vs 4GB vs 6GB vs 8GB🤦‍♂️ https://piped.video/uU1LWETnt2g,much ram need budget smartphone🤷‍♂️ gb vs gb vs gb vs gb vs gb🤦‍♂️,Neutral,0.0
2021-01-02 05:55:00+00:00,"Flyovers get more budget, more budget means .......?",flyovers get budget budget means,Neutral,0.0
2021-01-02 06:31:00+00:00,Farmer should pay income tax if income is more than 10 lakhs .,farmer pay income tax income lakhs,Negative,-0.1027
2021-01-02 07:02:00+00:00,"@PMOIndia sir,  I m ardent supporter of You. Now the cost of Steel has dwindled and steel being the most consumed metal has affected the cost of construction of house for small and medium class. Pls look into this and save the people. This may have contributed to GST recovery.",sir ardent supporter cost steel dwindled steel consumed metal affected cost construction house small medium class pls look save people may contributed gst recovery,Positive,0.7964
2021-01-02 07:05:00+00:00,"Thats because in the mollycoddled Punjab there is no concept of right and wrong...they take pride in not paying taxes,thieving electricity, breaking traffic rules,usurping govt land,threatening the humble...living ostentatious lives with no visible means of income...might is fair",thats mollycoddled punjab concept right wrongthey take pride paying taxesthieving electricity breaking traffic rulesusurping govt landthreatening humbleliving ostentatious lives visible means incomemight fair,Positive,0.5719
2021-01-02 07:12:00+00:00,The average fiscal deficit has increased exponentially under AIADMK rule    #ஸ்டாலினுடன்_கோவை,average fiscal deficit increased exponentially aiadmk rule ்டாலினுடன்கோவை,Negative,-0.1531
2021-01-02 07:24:00+00:00,"US Congress overrides President Trump's veto of defence budget, 1st for his admin https://www.dailypioneer.com:443/2021/trending-news/us-congress-overrides-president-trump-s-veto-of-defence-budget--1st-for-his-admin.html",us congress overrides president trumps veto defence budget st admin,Positive,0.1027
2021-01-02 07:31:00+00:00,Request u  Please bring #GSTAmnesty scheme & one time waiver scheme in GSTR3B so that all pending returns can be filed..When one can give Amnesty scheme in Income tax which is old law.Why can't Amnesty Can be given In GST which is just 3 yrs old..Will help in reduce litigation,request u please bring scheme one time waiver scheme gstrb pending returns filedwhen one give amnesty scheme income tax old lawwhy cant amnesty given gst yrs oldwill help reduce litigation,Positive,0.4939
2021-01-02 07:32:00+00:00,We had rich farmers' kids in our engineering college. They were collecting all financial scholarships ad farmers neither declare their income nor pay any income tax. We the middle class students paid all the fees without any scholarships.,rich farmers kids engineering college collecting financial scholarships ad farmers neither declare income pay income tax middle class students paid fees without scholarships,Positive,0.5988
2021-01-02 07:32:00+00:00,"As much as I want my boi to stay, I don't want him to burn all his 1k usd man. That's ALOTTT of money okay. He wouldn't be happy staying here knowing he just lost 1k and with that, i wouldn't be happy either because we would be on tight budget when we go out and everything",much want boi stay dont want burn k usd man thats alottt money okay wouldnt happy staying knowing lost k wouldnt happy either would tight budget go everything,Negative,-0.7444
2021-01-02 07:45:00+00:00,"Yes, Thanks",yes thanks,Positive,0.6808
2021-01-02 07:54:00+00:00,"I am afraid that GST was a "" drunken drive "" carelessness while   Demo was planned "" hit & run """,afraid gst drunken drive carelessness demo planned hit run,Negative,-0.34
2021-01-02 08:25:00+00:00,"@PMOIndia @PiyushGoyal Its shows that if We increased Composition limit of 1% 5% GST to 10 Crores  for Goods and Services then 90% Assessee get relief from compliances and Single Annual return form will reduced 99% burden on GST System, It will b real Atmanirbhar Bharat move.",shows increased composition limit gst crores goods services assessee get relief compliances single annual return form reduced burden gst system b real atmanirbhar bharat move,Positive,0.3182
2021-01-02 08:32:00+00:00,"But seeing these numbers policy makers thinks all is well,no need of tax cut in gst as well as on income.",seeing numbers policy makers thinks wellno need tax cut gst well income,Neutral,0.0
2021-01-02 08:58:00+00:00,"Today there is a positive News that GST mopup has increased by 11.6% to Rs 1.15 lakh crores highest ever. Does it not catch your attention. Why do you tweet only negative News. Regarding vaccination, initial supply constraints, storage, approvals, rollout will take some time.",today positive news gst mopup increased rs lakh crores highest ever catch attention tweet negative news regarding vaccination initial supply constraints storage approvals rollout take time,Positive,0.25
2021-01-02 08:59:00+00:00,"In fact Punjab should not pay any GST. They should ask free GST State. Everything should be free for them as they are ""Annadata"" of Nation. Let great visionary of nation @RahulGandhi  guide them how to protest and get it.",fact punjab pay gst ask free gst state everything free annadata nation let great visionary nation guide protest get,Positive,0.9136
2021-01-02 09:07:00+00:00,"Around 11 Lakh+ppl of Puducherry recvd by DirectBankTransfer Approx 630+Crores of Rs into  beneficiaries Bank Accts this year without transmission loss, middlemen+others. Govt of India has supported UT ard 2000 Crores+GST Comp @BhallaAjay26 @PMOIndia @HMOIndia @ANI @PTI_News (1)",around lakhppl puducherry recvd directbanktransfer approx crores rs beneficiaries bank accts year without transmission loss middlemenothers govt india supported ut ard croresgst comp,Positive,0.7237
2021-01-02 09:13:00+00:00,"What about PMJAY? The budget allocation for PMJAY under Ayushman Bharat for 2020-2 was only ₹6,400 crore.   And that was for entire India. Just contrast it with your Bengal estimate.",pmjay budget allocation pmjay ayushman bharat ₹ crore entire india contrast bengal estimate,Neutral,0.0
2021-01-02 09:23:00+00:00,"@PMOIndia @IncomeTaxIndia Ganesh stores at Palayamkottai in Tirunelveli, Tamilnadu a shopping mall sells every product without bill and GST. Huge lakhs of tax evasion happening.",ganesh stores palayamkottai tirunelveli tamilnadu shopping mall sells every product without bill gst huge lakhs tax evasion happening,Negative,-0.2411
2021-01-02 10:00:00+00:00,Great modig   GST collections at all-time high of over Rs 1.15 lakh cr in Dec https://www.financialexpress.com/economy/gst-collections-at-all-time-high-of-over-rs-1-15-lakh-cr-in-dec/2162251/  via NaMo App,great modig gst collections alltime high rs lakh cr dec via namo app,Positive,0.6249
2021-01-02 10:40:00+00:00,When ? Wat u are working on ? Is it a Income tax file or CCTv footage u r checking since last 1 month. Shameless and Pathetic Team #Jiomart . This is going beyond tolerance limit now .,wat u working income tax file cctv footage u r checking since last month shameless pathetic team going beyond tolerance limit,Negative,-0.5994
2021-01-02 10:58:00+00:00,Yes...GST should be on revenue not invoice...HUGE cashflow problem.,yesgst revenue invoicehuge cashflow problem,Negative,-0.4019
2021-01-02 11:00:00+00:00,Covid19 cess on IncomeTax in the offing??? Edu cess collected but not shared how its used. @nsitharaman @narendramodi @rashtrapatibhvn @republic @TimesNow @ndtv @IndiaToday @DrRPNishank,covid cess incometax offing edu cess collected shared used,Positive,0.34
2021-01-02 11:41:00+00:00,1.very fast depleting squadron of airforce jets. 2.pace of rapidly growing Chinese Navy ships andand their deployment in Indian Ocean. 3.Russia's shift towards china from india. 4.turkey and Pakistan growing relation. 5.slow pace of modernization of armed forces.low budget also.,fast depleting squadron airforce jets pace rapidly growing chinese navy ships andand deployment indian ocean russias shift towards china india turkey pakistan growing relation slow pace modernization armed forceslow budget also,Positive,0.34
2021-01-02 11:51:00+00:00,Great news for the country. So now we hope you will release pending SEIS benefits for FY 2019-20 to dying Tourism industry at earliest possible ??    #tourismbuildingeconomy @PMOIndia @TourismFaith @iato_india,great news country hope release pending seis benefits fy dying tourism industry earliest possible,Positive,0.8625
2021-01-02 12:03:00+00:00,"@nsitharamanoffc @FinMinIndia @cbic_india @Anurag_Office @TimsyJaipuria @Infosys_GSTN @BimalGST @ANI @GST_Council Professionals r financial pillars of Govt.With #Sabka_Sath_Sabka_Vishwas, let's make GST EasyTaxSystem.Hon'ble FM,Plz address the concerns of our Association WMTPA",professionals r financial pillars govtwith lets make gst easytaxsystemhonble fmplz address concerns association wmtpa,Neutral,0.0
2021-01-02 12:58:00+00:00,Tamil cinema low budget cost 20 crore new face hero,tamil cinema low budget cost crore new face hero,Positive,0.3612
2021-01-02 13:19:00+00:00,"Amazing collection , this pictures is speaking that their no boundary for an great photographer, and no matter what camera u are using budget or expensive, if you have ski then you can produce good photos from very low smartphone 👍 Well done 👌👌 keep it up your good work 👏👏👏",amazing collection pictures speaking boundary great photographer matter camera u using budget expensive ski produce good photos low smartphone 👍 well done 👌👌 keep good work 👏👏👏,Positive,0.9778
2021-01-02 13:22:00+00:00,This photographs speaks it self that we not need any expensive smartphone for doing great photography 😍 it's the photographer who can get great output from and very budget smartphone 👍  Well done bhai @kumarpushap1 👏👏👏,photographs speaks self need expensive smartphone great photography 😍 photographer get great output budget smartphone 👍 well done bhai 👏👏👏,Positive,0.9231
2021-01-02 13:40:00+00:00,"UNPRECEDENTED! GST revenue collections recorded all-time high at over Rs 1.15 lakh crore in December 2020. The last month of the decade also saw a 12% YoY growth, showing definitive signs of robust recovery in the post-COVID era. #EconomyRebounds",unprecedented gst revenue collections recorded alltime high rs lakh crore december last month decade also saw yoy growth showing definitive signs robust recovery postcovid era,Positive,0.6124
2021-01-02 13:43:00+00:00,I replied again bro see but #PrabhasNagAshwin movie starting 500crores producer said in an interview that is possible to reach 1000crores budget Indian biggest movie,replied bro see movie starting crores producer said interview possible reach crores budget indian biggest movie,Neutral,0.0258
2021-01-02 13:46:00+00:00,We can also get 1000 people to oppose income tax rule. Can country like this? We must recover the losses incurred due to such protest from @_YogendraYadav,also get people oppose income tax rule country like must recover losses incurred due protest,Negative,-0.296
2021-01-02 13:49:00+00:00,Bull shit.  The nation can't be held to ransom by a bunch of rich fat farmers when 90%of the farmers don't get MSP and other subsidies.,bull shit nation cant held ransom bunch rich fat farmers farmers dont get msp subsidies,Neutral,0.0
2021-01-02 13:51:00+00:00,Let these joker farmers protest that people in Parliament also pay income tax. That will be a correct protest.,let joker farmers protest people parliament also pay income tax correct protest,Negative,-0.4404
2021-01-02 14:58:00+00:00,"Not able to come. But you can say your message through video message & post it on social media, so that everyone will be aware of the issue regarding GST",able come say message video message post social media everyone aware issue regarding gst,Neutral,0.0
2021-01-02 15:29:00+00:00,On January 20 President-elect Joe Biden to take oath as the 46th President of the US January 26 India to celebrate its 72nd Republic Day February 01 Finance Minister Nirmala Sitharaman to present the Union Budget for 2021-22 Felbruary 10-12 & World Sustainable Development Summit,january presidentelect joe biden take oath th president us january india celebrate nd republic day february finance minister nirmala sitharaman present union budget felbruary world sustainable development summit,Positive,0.5719
2021-01-02 15:33:00+00:00,Pfizer and Moderna should be approved for people affording paid vaccine. It's just like a usual income tax slab wherein who gets a free vaccine and who can afford a bit costlier vaccine. I doubt it will be done on immediate basis but it's the best way to cover up 1.3 BILLION 🇮🇳,pfizer moderna approved people affording paid vaccine like usual income tax slab wherein gets free vaccine afford bit costlier vaccine doubt done immediate basis best way cover billion 🇮🇳,Positive,0.8834
2021-01-02 15:44:00+00:00,QRMP scheme in hindi Kedar Vashnav  94139 51441 #REGAL #KedarVashnav #gst #gstregistration #incometax #qrmp @ Beawar https://www.instagram.com/p/CJjE1jAhJw0/?igshid=1iqsuqmjwwu96,qrmp scheme hindi kedar vashnav beawar,Neutral,0.0
2021-01-02 16:01:00+00:00,"GST revenue collections recorded all-time high at over Rs 1.15 lakh crore in December 2020. The last month of the decade also saw a 12% YoY growth, showing definitive signs of robust recovery in the post-COVID era.  #EconomyRebounds",gst revenue collections recorded alltime high rs lakh crore december last month decade also saw yoy growth showing definitive signs robust recovery postcovid era,Positive,0.6124
2021-01-02 17:27:00+00:00,India been unkind to 70 pc of its population engaged in Agri directly or indirectly :: never considered a separate budget for agri. Perception handing over farm interests to corporates. 1 time after 1947 farm community fighting for its rights. My interview https://piped.video/aFe9NF-LMNw,india unkind pc population engaged agri directly indirectly never considered separate budget agri perception handing farm interests corporates time farm community fighting rights interview,Negative,-0.1027
2021-01-02 17:28:00+00:00,"Accepting anti-tamil policies such as NEP,NEET and GST are few of the many biggest blunders made by the AIADMK govt   #ஸ்டாலினுடன்_கோவை",accepting antitamil policies nepneet gst many biggest blunders made aiadmk govt ்டாலினுடன்கோவை,Positive,0.3818
2021-01-02 18:30:00+00:00,"Drive the Def budget through the ceiling &bankrupt the Nation.Force Panic increase in numbers both of pers &Systems,deployment in harsh climate areas &the consequent wear &tear",drive def budget ceiling bankrupt nationforce panic increase numbers pers systemsdeployment harsh climate areas consequent wear tear,Negative,-0.8176
2021-01-02 18:41:00+00:00,Last year's massive defence budget. American defence budget is practically war budget,last years massive defence budget american defence budget practically war budget,Negative,-0.4767
2021-01-02 19:51:00+00:00,"@narendramodi @PMOIndia  Suggestion no.31 Old TDS amount are still lying with income tax department. Any online system made, will be helpful to lots of people whos tds are lying because of system. If system is made then due TDS amount can be adjusted for future tax of individuals",suggestion old tds amount still lying income tax department online system made helpful lots people whos tds lying system system made due tds amount adjusted future tax individuals,Negative,-0.6124
